descripcion;mes;sum
AJI NAUCHO O MISKUCHI;11;0
AJI NAUCHO O MISKUCHI;12;0
AJI ROCOTO (COSTA/SIERRA/SELVA);1;12874
AJI ROCOTO (COSTA/SIERRA/SELVA);2;11128
AJI ROCOTO (COSTA/SIERRA/SELVA);3;10850
AJI ROCOTO (COSTA/SIERRA/SELVA);4;8196
AJI ROCOTO (COSTA/SIERRA/SELVA);5;9051
AJI ROCOTO (COSTA/SIERRA/SELVA);6;9893
AJI ROCOTO (COSTA/SIERRA/SELVA);7;10179
AJI ROCOTO (COSTA/SIERRA/SELVA);8;11091
AJI ROCOTO (COSTA/SIERRA/SELVA);9;9691
AJI ROCOTO (COSTA/SIERRA/SELVA);10;9310
AJI ROCOTO (COSTA/SIERRA/SELVA);11;9545
AJI ROCOTO (COSTA/SIERRA/SELVA);12;9368
AJI SECO PANCA;1;1700
AJI SECO PANCA;2;1249
AJI SECO PANCA;3;1457
AJI SECO PANCA;4;1145
AJI SECO PANCA;5;1679
AJI SECO PANCA;6;1562
AJI SECO PANCA;7;1565
AJI SECO PANCA;8;1357
AJI SECO PANCA;9;1425
AJI SECO PANCA;10;1631
AJI SECO PANCA;11;1198
AJI SECO PANCA;12;1090
AJO CASTILLA/MACHO (SIERRA/SELVA);1;7
AJO CASTILLA/MACHO (SIERRA/SELVA);2;0
AJO CASTILLA/MACHO (SIERRA/SELVA);3;0
AJO CASTILLA/MACHO (SIERRA/SELVA);4;0
AJO CASTILLA/MACHO (SIERRA/SELVA);5;0
AJO CASTILLA/MACHO (SIERRA/SELVA);6;0
AJO CASTILLA/MACHO (SIERRA/SELVA);7;0
AJO CASTILLA/MACHO (SIERRA/SELVA);8;0
AJO CASTILLA/MACHO (SIERRA/SELVA);9;0
AJO CASTILLA/MACHO (SIERRA/SELVA);10;0
AJO CASTILLA/MACHO (SIERRA/SELVA);11;36
AJO CASTILLA/MACHO (SIERRA/SELVA);12;36
AJO CRIOLLO O NAPURI;1;14428
AJO CRIOLLO O NAPURI;2;11598
AJO CRIOLLO O NAPURI;3;13190
AJO CRIOLLO O NAPURI;4;9090
AJO CRIOLLO O NAPURI;5;9605
AJO CRIOLLO O NAPURI;6;9479
AJO CRIOLLO O NAPURI;7;10217
AJO CRIOLLO O NAPURI;8;12679
AJO CRIOLLO O NAPURI;9;14519
AJO CRIOLLO O NAPURI;10;14586
AJO CRIOLLO O NAPURI;11;13869
AJO CRIOLLO O NAPURI;12;12264
AJO IMPORTADO;1;0
AJO IMPORTADO;2;0
AJO IMPORTADO;3;0
AJO IMPORTADO;4;0
AJO IMPORTADO;5;0
AJO IMPORTADO;6;0
AJO IMPORTADO;7;49
AJO IMPORTADO;8;35
AJO IMPORTADO;9;0
AJO IMPORTADO;10;0
AJO IMPORTADO;11;0
AJO IMPORTADO;12;0
AJO MORADO/BARRAN/LEGIT/OTROS;1;942
AJO MORADO/BARRAN/LEGIT/OTROS;2;908
AJO MORADO/BARRAN/LEGIT/OTROS;3;1079
AJO MORADO/BARRAN/LEGIT/OTROS;4;883
AJO MORADO/BARRAN/LEGIT/OTROS;5;1147
AJO MORADO/BARRAN/LEGIT/OTROS;6;855
AJO MORADO/BARRAN/LEGIT/OTROS;7;856
AJO MORADO/BARRAN/LEGIT/OTROS;8;1022
AJO MORADO/BARRAN/LEGIT/OTROS;9;662
AJO MORADO/BARRAN/LEGIT/OTROS;10;1305
AJO MORADO/BARRAN/LEGIT/OTROS;11;969
AJO MORADO/BARRAN/LEGIT/OTROS;12;859
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;1;0
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;2;0
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;3;0
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;4;41
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;5;169
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;6;515
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;7;264
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;8;61
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;9;0
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;10;0
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;11;0
AJO SERRANO SEMILLA CORRIENTE/ARICOTA;12;0
ALBAHACA;1;0
ALBAHACA;2;0
ALBAHACA;3;0
ALBAHACA;4;0
ALBAHACA;5;1
ALBAHACA;6;1
ALBAHACA;7;0
ALBAHACA;8;0
ALBAHACA;9;0
ALBAHACA;10;0
ALBAHACA;11;1
ALBAHACA;12;1
ALCACHOFA CRIOLLA;1;1
ALCACHOFA CRIOLLA;2;2
ALCACHOFA CRIOLLA;3;1
ALCACHOFA CRIOLLA;4;1
ALCACHOFA CRIOLLA;5;1
ALCACHOFA CRIOLLA;6;0
ALCACHOFA CRIOLLA;7;0
ALCACHOFA CRIOLLA;8;3
ALCACHOFA CRIOLLA;9;0
ALCACHOFA CRIOLLA;10;1
ALCACHOFA CRIOLLA;11;4
ALCACHOFA CRIOLLA;12;0
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;1;39
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;2;43
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;3;68
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;4;36
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;5;47
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;6;52
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;7;62
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;8;34
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;9;32
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;10;33
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;11;43
ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA;12;64
APIO;1;276
APIO;2;283
APIO;3;269
APIO;4;230
APIO;5;271
APIO;6;279
APIO;7;260
APIO;8;291
APIO;9;397
APIO;10;339
APIO;11;302
APIO;12;159
ARVEJA SECA ENTERA;1;2
ARVEJA SECA ENTERA;2;0
ARVEJA SECA ENTERA;3;0
ARVEJA SECA ENTERA;4;0
ARVEJA SECA ENTERA;5;0
ARVEJA SECA ENTERA;6;0
ARVEJA SECA ENTERA;7;0
ARVEJA SECA ENTERA;8;0
ARVEJA SECA ENTERA;9;0
